Parameter Name,Parameter Usage,Parameter CAS Number,Parameter UOM Type,Parameter Synonym,Parameter Synonym Type
#2 Diesel,Lab,68476-34-6     ,SUBST,"Fuels, diesel, no. 2",Synonym
(-)-Loliolide,Lab,2/6/5989,SUBST,,
(E)-Cinnamic acid,Lab,140-10-3       ,SUBST,"2-Propenoic acid, 3-phenyl-, (2E)-",Synonym
"(R,S)-alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid",Lab,74341-63-2     ,SUBST,AMPA,Synonym
(Z)-2-Heptenal-,Lab,57266-86-1     ,SUBST,,
(Z)14-Tricosenyl formate,,77899-10-6     ,SUBST,,
(Z)6-Pentadecen-1-ol,Lab,,SUBST,,
.alpha.-Amyrin,Lab,638-95-9       ,SUBST,alpha-amyrin,Synonym
.gamma-Sitosterol,Lab,83-47-6        ,SUBST,,
"[1,1'-Bicyclohexyl]-2-one",Lab,90-42-6        ,SUBST,,
"[1,1'-Biphenyl]-2-Ol",Lab,90-43-7        ,SUBST,o-Biphenylol,Synonym
"[1,1'-Biphenyl]-2-Ol",Lab,90-43-7        ,SUBST,2-Phenylphenol,Synonym
"[2,2'-Bifuran]-5,5'-dicarbo",Lab,1/1/5905,SUBST,,
"1(3H)-Isobenzofuranone, 5-methyl-",Lab,54120-64-8     ,SUBST,,
1(or 2)-Ethoxypropanol,Lab,52125-53-8     ,SUBST,"Propanol, 1(or 2)-ethoxy-",Synonym
1(or 2)-Ethoxypropanol,Lab,52125-53-8     ,SUBST,Propylene glycol ethyl ether,Synonym
"1, 2-Benzisothiazol-3(2H)-one",Lab,2634-33-5      ,SUBST,,
"1, 3-Hexane-2-",Lab,763-93-9       ,SUBST,,
"1,1'-Bicyclopropyl",Lab,5685-46-1      ,SUBST,,
"1,1'-Biphenyl",Lab,92-52-4        ,SUBST,Biphenyl,Synonym
"1,1'-Biphenyl",Lab,92-52-4        ,SUBST,Diphenyl,Synonym
"1,1'-Biphenyl, 2',4'-dichloro-2,4,6-trimethyl-",Lab,75601-31-9     ,SUBST,,
"1,1'-Biphenyl, 2,3'-Dimethyl-",Lab,611-43-8       ,SUBST,,
"1,1'-Biphenyl, 2-Methyl-",Lab,643-58-3       ,SUBST,,
"1,1'-Biphenyl, 4,4'-difluoro-",Lab,398-23-2       ,SUBST,,
"1,1'-Biphenyl, 4,4'-dimethy",Lab,613-33-2       ,SUBST,,
"1,1,1,2-Tetrachloroethane",Lab,630-20-6       ,SUBST,,
"1,1,1-Trichloroethane",Lab,71-55-6        ,SUBST,,
"1,1,2,2-Tetrachloroethane",Lab,79-34-5        ,SUBST,"Ethane, 1,1,2,2-tetrachloro-",Synonym
"1,1,2,2-Tetrachloroethane",Lab,79-34-5        ,SUBST,"1,1,2,2-PCA",Synonym
"1,1,2-Trichloroethane",Lab,79-00-5        ,SUBST,"1,1,2-TCA",Synonym
"1,1,2-Trichloroethane",Lab,79-00-5        ,SUBST,"Ethane, 1,1,2-trichloro-",Synonym
"1,1-Dichloroethane",Lab,75-34-3        ,SUBST,,
"1,1-Dichloroethene",Lab,75-35-4        ,SUBST,"1,1-Dichloroethylene",Synonym
"1,1-Dichloroethene",Lab,75-35-4        ,SUBST,Vinylidene chloride,Synonym
"1,1-Dichloropropanone",Lab,513-88-2       ,SUBST,,
"1,1-Dichloropropene",Lab,563-58-6       ,SUBST,,
"1,13-Tridecanediol, diacetate",Lab,42236-70-4     ,SUBST,,
"1,2,3,4,5-Pentabromo-6-chlorocyclohexane",Lab,87-84-3        ,SUBST,,
