Result Data Qualifier Code,Result Data Qualifier Description
"B","Analyte detected in sample and method blank. Reported result is sample concentration without blank correction or associated quantitation limit."
"B1","Analyte detected in sample and method blank. Reported result is blank-corrected."
"BAT","Instrument experienced battery problems; reported result is an estimate"
"E","Reported result is an estimate because it exceeds the calibration range."
"EST","Measurement value reported is estimated"
"FA","No site access"
"FD","Site was dry"
"FE","Equipment failure"
"FH","Flow too high to measure"
"FI","Ice impacted"
"FL","Above or below instrument or method limit"
"FS","Stagnant water – no flow"
"FT","Flow tidally impacted"
"G","Value is likely greater than the reported result. Reported result may be biased low."
"IC","Instrument result corrected; reported result meets study objectives"
"ICE","Instrument result corrected; reported result is an estimate"
"J","Analyte was positively identified. The reported result is an estimate."
"JG","Analyte was positively identified. Value may be greater than the reported estimate."
"JK","Analyte was positively identified. Reported result is an estimate with unknown bias."
"JL","Analyte was positively identified. Value may be less than the reported estimate."
"JT","Analyte was positively identified. Reported result is an estimate below the associated quantitation limit but above the MDL."
"JTG","Analyte was positively identified. Value may be greater than the reported result, which is an estimate below the associated quantitation limit but above the MDL."
"JTK","Analyte was positively identified. Reported result is an estimate with unknown bias, below the associated quantitation limit but above the MDL."
"JTL","Analyte was positively identified. Value may be less than the reported result which is an estimate below associated quantitation limit but above MDL."
"K","Reported result with unknown bias."
"L","Value is likely less than the reported result.  Reported result may be biased high."
"N","There is evidence the analyte is present in the sample. Tentatively identified analyte."
"NJ","There is evidence that the analyte is present in the sample.  Reported result for the tentatively identified analyte is an estimate ."
"NJT","There is evidence the analyte is present in the sample. Reported result for the tentatively identified analyte is an estimate below the associated quantitation limit but above the MDL."
"NU","There is evidence the analyte is present in the sample. Tentatively identified analyte was not detected at or above the reported result."
"NUJ","There is evidence the analyte is present in the sample. Tentatively identified analyte was not detected at or above the reported estimate."
"REJ","Data are unusable for all purposes. Sample results rejected due to serious deficiencies in the ability to analyze the sample and meet quality control criteria. The presence or absence of the analyte cannot be verified."
"T","Reported result below associated quantitation limit but above MDL"
"U","Analyte was not detected at or above the reported result."
"UJ","Analyte was not detected at or above the reported estimate"
"UJG","Analyte was not detected at or above the reported estimate with likely low bias."
"UJK","Analyte was not detected at or above the reported estimate with unknown bias."
"UJL","Analyte was not detected at or above the reported estimate with likely high bias."
"VAR","Unexplained variation in the dataset; reported result is an estimate"
"WLA","Well water level affected by atmospheric pressure."
"WLB","Well water level affected by tidal stage."
"WLC","Well water level affected by ice."
"WLD","Well was dry during measurement attempt."
"WLE","Well was flowing recently."
"WLF","Well was flowing and could not be measured."
"WLG","Nearby well(s) flowing during measurement."
"WLH","Nearby well(s) flowing recently."
"WLI","Well site was being injected during measurement."
"WLJ","Nearby well site(s) being injected during measurement."
"WLK","Water was cascading down inside of well."
"WLL","Well water level affected by brackish or saline water."
"WLM","Well was plugged and not in hydraulic contact with the aquifer."
"WLN","Well measurement discontinued."
"WLO","Well water level affected by/could not be measured due to obstruction in well."
"WLP","Well site was being pumped during measurement."
"WLR","Well site was pumped recently."
"WLS","Nearby well(s) being pumped during measurement."
"WLT","Nearby well(s) pumped recently."
"WLV","LNAPL (floating product) or other foreign substance on well water."
"WLW","Well was destroyed; water level could not be measured."
"WLX","Well water level affected by nearby surface-water stage."
"WLZ","Well water level affected by other conditions."
